name,count
African Americans,14848
Africans,49334
Americans,1806801
Asian Pacific Americans,628
Amish,28
Asians,18280
Buddhists,950
Baptists,2133
Blacks,216411
Chinese Americans,9765
Chinese,24479
Christian Scientists,21
Christians,16382
Cossacks,127
Creek Indians,7814
Europeans,21028
Filipino Americans,329
Filipinos,2063
Eskimos,36984
French,135335
Hispanics,1766
Hippies,48
Hawaiians,20105
Germans,21449
Hindus,422
Israelis,488
Italians,8308
Japanese,22293
Indians of North America,2585354
Japanese Americans,4716
Kabyles,39
Jews,2151
Latinos,1899
Latin Americans,3698
Muslims,1656
Mexicans,46254
Native Americans,262636
Russians,18665
Romanies,218
Native Americans,262636
Russians,18665
Scots,1302
Vietnamese,501
Turks,3190
Spaniards,717
